Dim = 4
L = 3
N3 = 324
N2 = 486
N1 = 324
N0 = 81
WilsonSurfaceXY(Spin, Cube, L) = 1
Energy = -324.0
T, H, <E>/N, <Cv>/N, <M>/N, <chi>/N 
1.5 0.0 -0.4129271851851852 0.28272100307037146 0.00046781687242798356 0.6596702632168986
1.48 0.0 -0.41873298353909466 0.2942663948737522 -0.00034681893004115226 0.670215667819325
1.46 0.0 -0.42467086008230454 0.3042245419682724 -0.0004410534979423868 0.6912315536671967
1.44 0.0 -0.43078996296296296 0.31702731733316175 6.597530864197532e-5 0.6948720734737996
1.42 0.0 -0.43712769958847736 0.3311687791183807 -0.0001387469135802469 0.6901619588770634
1.4 0.0 -0.44399286008230454 0.34634396669931483 -0.00018002674897119343 0.7265749779173295
1.38 0.0 -0.4509855761316872 0.3610204466717993 2.3674897119341566e-5 0.72180687602428
1.36 0.0 -0.45845248971193414 0.3804918352181894 -0.00020592798353909466 0.7320530770295313
1.34 0.0 -0.4662841522633745 0.40467377921337233 -0.0005277345679012346 0.7434167749563279
1.32 0.0 -0.47456248559670783 0.42926638489337576 0.00035804732510288066 0.7562318589784869
1.3 0.0 -0.4832894814814815 0.4561965609840698 -0.00034324074074074075 0.7747611059762186
1.28 0.0 -0.49287558847736623 0.5111592146617868 -0.0008422057613168724 0.7761355897740742
1.26 0.0 -0.5047487489711935 0.5789270272030171 -0.00011769341563786008 0.7975637766581732
1.24 0.0 -0.5168264650205762 0.6872527655382867 -0.0003312592592592593 0.813929884468233
1.22 0.0 -0.5314042016460906 0.8132878183834569 -0.0001510761316872428 0.8264489628669484
1.2 0.0 -0.5507218065843622 0.996622087853215 0.0006477325102880659 0.8449197568916255
1.18 0.0 -0.5731554773662552 1.1369589427736513 6.377777777777778e-5 0.8142456079514264
1.16 0.0 -0.5944928353909466 1.1082029074851965 -7.916460905349795e-5 0.8781590388664042
1.14 0.0 -0.6153190946502057 0.9092086324022401 -0.001004216049382716 0.8885319149765342
1.12 0.0 -0.6316411399176955 0.657477517773087 -0.0010597757201646092 0.9199712530632697
1.1 0.0 -0.6415187654320987 0.46659688002176314 0.0013310123456790124 0.8450646176872728
1.08 0.0 -0.6495348641975309 0.2945501608213283 -0.0006121522633744856 0.9626310436289512
1.06 0.0 -0.6543889917695473 0.1938217613606238 0.004605205761316873 0.9487565923268498
1.04 0.0 -0.6576072263374485 0.1327598217156439 0.0019177633744855967 0.9103431712704001
1.02 0.0 -0.6599015144032921 0.08936350516800645 -2.025925925925926e-5 1.0266166445902605
1.0 0.0 -0.6614615843621399 0.06575682652490084 -0.005276312757201646 1.1655406235659589
0.98 0.0 -0.6624585802469136 0.05205477502318228 -0.008057528806584361 1.1302170973173742
0.96 0.0 -0.6634932427983539 0.038695487681426145 0.00479908024691358 1.2800687060257867
0.94 0.0 -0.6642077283950617 0.029398695008579834 -0.0043468930041152265 1.3804879771734087
0.92 0.0 -0.664685341563786 0.023447866758419582 0.0045867427983539094 0.7726803298205202
0.9 0.0 -0.6651021481481482 0.01914469022316743 -0.001409864197530864 1.067754534024609
0.88 0.0 -0.6654906419753086 0.014391104021340183 -0.006205063786008231 0.8224150830833311
0.86 0.0 -0.6657241111111112 0.011912236180594666 0.010141281893004115 0.5452903891100368
0.84 0.0 -0.665919633744856 0.00965124649090741 -0.007322590534979424 1.3742778415372305
0.82 0.0 -0.6661086008230452 0.007383733569150266 0.012516240740740741 0.9591599888350673
0.8 0.0 -0.666234646090535 0.005917605319478722 -0.01738608641975309 0.7209484405065739
0.78 0.0 -0.6663648148148148 0.0042178198973299615 -0.038791230452674894 0.1806856678235624
0.76 0.0 -0.6664301604938272 0.0034575180419492853 -0.012771788065843621 0.2315060649395685
0.74 0.0 -0.6664831275720164 0.0028194987780536846 0.021720172839506172 0.3018806015793126
0.72 0.0 -0.6665465226337449 0.0019310072773653841 -0.028330522633744856 0.41565464613066994
0.7 0.0 -0.6665692757201647 0.0016367501543651272 0.032016028806584364 0.11403647018195177
0.68 0.0 -0.6666053827160494 0.001079894989468327 0.03513647325102881 0.05684557716571019
0.66 0.0 -0.6666211234567901 0.0008589358135932189 0.03913144444444445 0.012525240784624003
0.64 0.0 -0.6666348724279836 0.0006325615057636493 0.03731848148148148 0.0017255487541023985
0.62 0.0 -0.6666421563786008 0.0005191036014189206 0.0427290720164609 0.011964562139117908
0.6 0.0 -0.66665241563786 0.0003192960135970607 0.04526729218106996 1.1947842194561495e-5
0.58 0.0 -0.666658683127572 0.00019035335153071763 0.04526741563786008 6.95330886930818e-6
0.56 0.0 -0.6666618230452674 0.0001236828828274599 0.04526702674897119 4.3134530240137475e-6
0.54 0.0 -0.6666644814814815 6.0450305000942266e-5 0.04526778806584362 1.988945949664396e-6
0.52 0.0 -0.6666645637860082 6.312059794933923e-5 0.04526734567901235 2.1209049543028764e-6
0.5 0.0 -0.6666645020576132 6.925838114597946e-5 0.045267236625514407 2.1645467939626182e-6
0.48 0.0 -0.6666662304526749 1.5145917649158134e-5 0.0452674670781893 4.5438905605690187e-7
0.46 0.0 -0.6666664032921811 9.95728825361557e-6 0.045267534979423873 2.8627444950076384e-7
0.44 0.0 -0.6666666666666666 0.0 0.04526748971193416 0.0
0.42 0.0 -0.6666666666666666 0.0 0.04526748971193416 0.0
0.4 0.0 -0.6666666666666666 0.0 0.04526748971193416 0.0
0.38 0.0 -0.6666666666666666 0.0 0.04526748971193416 0.0
