Dim = 4
L = 16
N3 = 262144
N2 = 393216
N1 = 262144
N0 = 65536
1.0 -0.6621325388153076 0.06843452227379505
1.001 -0.6620124202313232 0.0384151435622494
1.002 -0.661984814017334 0.05194415531888486
1.003 -0.6620305109281412 0.0614345675599274
1.004 -0.661811450918986 0.04833110926950479
1.005 -0.6617645285829671 0.0670618819739644
1.006 -0.6618804812691244 0.06077800193476758
1.007 -0.6617999255727133 0.05397248881608411
1.008 -0.6614961900128175 0.08768501955334326
1.009 -0.6617802416756186 0.048659558422254584
1.01 -0.6615450279659018 0.08434109117244641
1.011 -0.6615577375394693 0.045210383227701226
1.012 -0.6614368489656576 0.04818183198512851
1.013 -0.6612974084973144 0.07713684918512667
1.014 -0.6613456684484863 0.06865520336324805
1.015 -0.6610527912455241 0.07961498003240006
1.016 -0.6611512741442871 0.0528256987517489
1.017 -0.6608431326291911 0.09564274540297532
1.018 -0.6610972062886556 0.0723503204394553
1.019 -0.6609880566833496 0.050741001509301165
1.02 -0.6608848748268635 0.09516946507709614
1.021 -0.6605927589766439 0.08105586265886267
1.022 -0.660707653509318 0.05548320211485663
1.023 -0.6606548781439209 0.06789489686513882
1.024 -0.6604360499159749 0.09187375654695629
1.025 -0.6606483138653564 0.05728977490619089
1.026 -0.6606117614172363 0.06518324348740151
1.027 -0.6603607249438477 0.06590255687331356
1.028 -0.6602738455763754 0.05279407326884348
1.029 -0.6600503678674317 0.060301640048241234
1.03 -0.6601252173307292 0.09300546223988826
1.031 -0.659915741636556 0.10622055994905737
1.032 -0.659794003254598 0.058633029889395484
1.033 -0.6596340709851074 0.08813967179020207
1.034 -0.6599211261920166 0.07499294991776691
1.035 -0.659361530880127 0.06584467872792017
1.036 -0.659421872317098 0.09767712480347648
1.037 -0.6594844278664144 0.07280964772059856
1.038 -0.6594524778918457 0.11710239101145588
1.039 -0.6591828251031494 0.08490193000368694
1.04 -0.6592823925848389 0.14712945746415876
1.041 -0.659034751015625 0.09176927063149659
1.042 -0.659355876634318 0.07199046604502815
1.043 -0.6587641329256185 0.11920854660449756
1.044 -0.6579678496999105 0.10468241733377197
1.045 -0.6577886935520426 0.10494113701361286
1.046 -0.6580049124916586 0.0954837000542312
1.047 -0.6584430498972574 0.11581463359227172
1.048 -0.6583565463269043 0.17843773245911976
1.049 -0.6574233935809326 0.1605842551561249
1.05 -0.6575447521236165 0.0738696160339782
1.051 -0.6573321424432373 0.1254346049305452
1.052 -0.6568413858522543 0.09483772673322288
1.053 -0.6567069553308106 0.18690690283425176
1.054 -0.6568029760066731 0.07788772007961853
1.055 -0.6568131346083578 0.0890510055894531
1.056 -0.6565567914029947 0.24537420438928884
1.057 -0.6570080581787109 0.14346148133018316
1.058 -0.6553101301633707 0.3521560592641689
1.059 -0.6543921077026368 0.6892128433196695
1.06 -0.6530429806274414 0.23859200667563596
1.061 -0.652023265487264 0.23953891411504724
1.062 -0.6494080057779948 0.2840379049016645
1.063 -0.647766245094808 0.39948977258245105
1.064 -0.6428639137312825 1.6833256395220606
1.065 -0.6396454321606445 0.6419982629062382
1.066 -0.6369438645863851 0.634702411348789
1.067 -0.6349098864442952 0.356363310654315
1.068 -0.6331219923341879 0.22900724928032987
1.069 -0.6331333499690756 1.1176711373659203
1.07 -0.6298142018955485 0.4191960367731038
1.071 -0.6308289943292237 1.6618075546779547
1.072 -0.6284233945918782 0.6525556152230363
1.073 -0.6277510528645833 0.2932676312340211
1.074 -0.626490336868693 0.2171701663536976
1.075 -0.6275499109576416 0.33247636856784235
1.076 -0.6281189607187907 0.585320712697597
1.077 -0.6252270942710368 0.6024649498256041
1.078 -0.624599857796224 0.3681387823896475
1.079 -0.6227681307777914 0.24548869057068815
1.08 -0.621991853151245 1.3833892499940927
1.081 -0.619754360246582 0.3114619305973521
1.082 -0.6200022539406331 0.41395496946652316
1.083 -0.6178549175754802 0.19011797419423113
1.084 -0.6204264494266765 0.6118108504137558
1.085 -0.617418609151001 0.3118668782158418
1.086 -0.6169677397989909 0.5769424384409509
1.087 -0.6144045614746093 0.3935178127269761
1.088 -0.6135366240325928 0.35117518969729794
1.089 -0.6122277712247721 0.6057596777674172
1.09 -0.6131511948272705 0.5834555718603588
1.091 -0.613272190869344 1.6905624623395379
1.092 -0.6110798680436198 0.35949694056065795
1.093 -0.6103201859092203 0.6086655499450415
1.094 -0.6077809812615967 0.7442976312033363
1.095 -0.6072231911051432 0.43454193187738493
1.096 -0.607351080487264 1.002858797214582
1.097 -0.6061471511598714 0.45447023024683647
1.098 -0.604847485711263 0.4336111669690307
1.099 -0.604111371739095 0.2523084512176143
1.1 -0.6026773037180583 1.2720780560013019
