Dim = 4
L = 3
N3 = 324
N2 = 486
N1 = 324
N0 = 81
4.6 -0.1432097489711934 0.0301928195909042
4.55 -0.14410870370370368 0.030559364816091998
4.5 -0.14563165432098765 0.03146412151234508
4.45 -0.1478741399176955 0.031605285141780806
4.4 -0.14893404938271604 0.03287677147371199
4.35 -0.1505560658436214 0.03349452837662999
4.3 -0.1519126172839506 0.03349766959573029
4.25 -0.15433689711934157 0.03502765969967968
4.2 -0.15621469958847736 0.03575786686189066
4.15 -0.15781761316872428 0.03663328053733906
4.1 -0.1591344485596708 0.03747140652206284
4.05 -0.16201895884773662 0.038644609129543296
4.0 -0.16357176543209878 0.039237304142118755
3.95 -0.16542379423868314 0.04001236328602287
3.9 -0.16737177366255143 0.04124220596787314
3.85 -0.1695882427983539 0.04202726720888593
3.8 -0.17165273662551442 0.04341009546628301
3.75 -0.17402838271604937 0.0443996312894104
3.7 -0.17607741563786009 0.04531341844947426
3.65 -0.1784403827160494 0.046780434790817546
3.6 -0.18019917695473253 0.04817987440938859
3.55 -0.18363817283950618 0.04872448956987208
3.5 -0.18596670370370372 0.050994712066326685
3.45 -0.1882141316872428 0.052431593771301604
3.4 -0.19081362551440328 0.0529873628522356
3.35 -0.1933696255144033 0.054322421418053594
3.3 -0.19650378600823046 0.056730653957154875
3.25 -0.19904785185185186 0.05779408470849368
3.2 -0.20213227572016462 0.05876300655185086
3.15 -0.20549006995884772 0.06130718457048808
3.1 -0.20808858436213992 0.06465824466397233
3.05 -0.2120480205761317 0.0651291565512953
3.0 -0.21404936625514404 0.06890093471603487
2.95 -0.21850209876543208 0.07017846778327494
2.9 -0.2215007037037037 0.07215447976567074
2.85 -0.22544330864197532 0.0739081326851553
2.8 -0.22910690946502058 0.07624045862261616
2.75 -0.23241404115226338 0.08002518491468814
2.7 -0.2365997366255144 0.08183786432996819
2.65 -0.2411780576131687 0.08574152992913885
2.6 -0.24585288477366257 0.0861732138371425
2.55 -0.2503501604938272 0.09057608594615049
2.5 -0.25546976131687243 0.09558570003080942
2.45 -0.2595815144032922 0.09801859356562458
2.4 -0.2645866419753087 0.10158954324000201
2.35 -0.2699195843621399 0.10715049085662517
2.3 -0.2752424979423868 0.11171223452693596
2.25 -0.28033065020576137 0.11264820746251274
2.2 -0.2870829465020576 0.1192870277585021
2.15 -0.29194806172839505 0.12929416378976477
2.1 -0.3000308724279835 0.13035192392896247
2.05 -0.3056323909465021 0.13610808360447693
2.0 -0.3125407325102881 0.1475366194024586
1.95 -0.32058257201646095 0.1547873941516161
1.9 -0.32802072016460904 0.159561404349543
1.85 -0.33601338271604936 0.1681700795870868
1.8 -0.3446251522633745 0.17558820031564656
1.75 -0.35458907407407403 0.1925743636623165
1.7 -0.3644251604938271 0.19618288795308034
1.65 -0.3750852016460905 0.22082228145846491
1.6 -0.3862375884773662 0.2364087683939191
1.55 -0.39753255967078194 0.24668228972822293
1.5 -0.4118539588477366 0.28584874921941333
1.45 -0.42644391769547324 0.32558145746388645
1.4 -0.4440996913580247 0.3336358770024994
1.35 -0.4610178600823045 0.4005635298340932
1.3 -0.4837824526748971 0.4274228696204046
1.25 -0.5096648353909465 0.5416145773140959
1.2 -0.5472057489711935 0.9017524852880059
1.15 -0.6110741563786007 0.9620891182810992
1.1 -0.6376071810699588 0.6142849320339745
1.05 -0.656996732510288 0.13428572292722166
1.0 -0.6615344814814815 0.06049849556672407
0.95 -0.6636182839506173 0.03859203234684139
0.9 -0.6653715967078189 0.014454530825569833
0.85 -0.6658941769547325 0.010938802213085042
0.8 -0.6661868888888889 0.006263936530444411
0.75 -0.6665197818930041 0.002152998771002771
0.7 -0.6665994650205761 0.0011080092568230857
0.65 -0.6666398765432099 0.0005064430301250176
0.6 -0.666633037037037 0.0007457983176827357
0.55 -0.6666666666666666 0.0
0.5 -0.6666666666666666 0.0
0.45 -0.6666666666666666 0.0
0.4 -0.6666666666666666 0.0
0.35 -0.6666666666666666 0.0
0.3 -0.6666666666666666 0.0
0.25 -0.6666666666666666 0.0
0.2 -0.6666666666666666 0.0
0.15 -0.6666666666666666 0.0
0.1 -0.6666666666666666 0.0
0.05 -0.6666666666666666 0.0
